id_empresa,nome_fantasia,municipio,segmento,data_abertura,numero_funcionarios,faturamento_anual,status
131,Empresa 131 LTDA,Jaraguá do Sul,Indústria,2018-12-01,108,3129329.17,Suspenso
132,Empresa 132 LTDA,Criciúma,Turismo,2011-10-20,44,4318700.36,Ativo
133,Empresa 133 LTDA,Itajaí,Turismo,2017-05-15,84,4750127.09,Ativo
134,Empresa 134 LTDA,Joinville,Serviços,2021-12-20,30,778013.73,Ativo
135,Empresa 135 LTDA,Criciúma,Turismo,2018-07-11,75,4636608.74,Ativo
136,Empresa 136 LTDA,São José,Comércio,2017-02-07,128,2485975.65,Inativo
137,Empresa 137 LTDA,Blumenau,Serviços,2020-12-11,92,1328309.72,Ativo
138,Empresa 138 LTDA,Lages,Comércio,2022-02-19,129,2322721.99,Ativo
139,Empresa 139 LTDA,Florianópolis,Agronegócio,2010-10-22,121,4901161.25,Ativo
140,Empresa 140 LTDA,Criciúma,Agronegócio,2011-07-15,27,2488459.57,Ativo
141,Empresa 141 LTDA,Jaraguá do Sul,Tecnologia,2015-04-08,121,1677320.47,Ativo
142,Empresa 142 LTDA,Blumenau,Serviços,2016-06-12,116,3185334.23,Ativo
143,Empresa 143 LTDA,Jaraguá do Sul,Agronegócio,2015-02-07,3,1238720.81,Ativo
144,Empresa 144 LTDA,Joinville,Agronegócio,2012-01-11,103,425523.47,Ativo
145,Empresa 145 LTDA,Criciúma,Turismo,2019-09-26,137,687954.62,Ativo
146,Empresa 146 LTDA,Jaraguá do Sul,Tecnologia,2012-03-17,62,683826.9,Ativo
147,Empresa 147 LTDA,Balneário Camboriú,Tecnologia,2012-04-03,51,801918.33,Ativo
148,Empresa 148 LTDA,Chapecó,Turismo,2019-12-14,59,737194.5,Inativo
149,Empresa 149 LTDA,Blumenau,Serviços,2013-09-24,118,3222329.99,Suspenso
150,Empresa 150 LTDA,Itajaí,Comércio,2016-09-19,96,950306.42,Inativo
151,Empresa 151 LTDA,Blumenau,Serviços,2010-08-26,113,1761053.05,Ativo
152,Empresa 152 LTDA,Jaraguá do Sul,Comércio,2011-01-12,62,4489102.63,Ativo
153,Empresa 153 LTDA,Jaraguá do Sul,Tecnologia,2017-04-11,52,2396110.12,Ativo
154,Empresa 154 LTDA,Florianópolis,Indústria,2011-04-05,12,3354410.81,Ativo
155,Empresa 155 LTDA,Balneário Camboriú,Serviços,2016-07-31,39,902983.36,Ativo
156,Empresa 156 LTDA,Itajaí,Indústria,2018-01-15,130,1001830.64,Suspenso
157,Empresa 157 LTDA,,Comércio,2018-05-29,131,252299.65,Ativo
158,Empresa 158 LTDA,Florianópolis,Serviços,2019-08-30,113,886228.56,Ativo
159,Empresa 159 LTDA,Joinville,Indústria,2013-04-07,101,1429022.18,Ativo
160,Empresa 160 LTDA,Itajaí,Indústria,2015-06-24,113,926201.9,Suspenso
161,Empresa 161 LTDA,Criciúma,Serviços,2021-11-30,81,489077.54,Ativo
162,Empresa 162 LTDA,,Indústria,2019-03-30,113,647147.56,Ativo
163,Empresa 163 LTDA,Florianópolis,Serviços,2022-09-11,2,2330854.9,Ativo
164,Empresa 164 LTDA,Chapecó,Indústria,2014-01-15,130,1071351.91,Ativo
165,Empresa 165 LTDA,Balneário Camboriú,Tecnologia,2013-10-24,54,1853135.81,Ativo
166,Empresa 166 LTDA,Joinville,Serviços,2013-12-05,87,2541915.49,Ativo
167,Empresa 167 LTDA,Joinville,Tecnologia,2011-10-09,129,3467454.4,Ativo
168,Empresa 168 LTDA,Lages,Turismo,2023-09-02,147,244595.09,Ativo
169,Empresa 169 LTDA,Joinville,Agronegócio,2018-07-31,126,4007081.47,Inativo
170,Empresa 170 LTDA,Jaraguá do Sul,Tecnologia,2015-05-27,130,3158106.93,Ativo
171,Empresa 171 LTDA,Blumenau,Indústria,2021-02-28,53,454707.21,Ativo
172,Empresa 172 LTDA,Blumenau,Comércio,2023-01-30,68,4374214.19,Ativo
173,Empresa 173 LTDA,Lages,Turismo,2013-03-18,123,4608318.38,Ativo
174,Empresa 174 LTDA,Jaraguá do Sul,Tecnologia,2015-03-18,145,352335.9,Ativo
175,Empresa 175 LTDA,Blumenau,Turismo,2020-05-05,38,1420544.36,Ativo
176,Empresa 176 LTDA,Criciúma,Tecnologia,2015-09-12,24,4040696.33,Inativo
177,Empresa 177 LTDA,Jaraguá do Sul,Tecnologia,2020-04-22,69,3753885.47,Ativo
178,Empresa 178 LTDA,Balneário Camboriú,Comércio,2015-09-23,116,963379.05,Ativo
179,Empresa 179 LTDA,São José,Comércio,2010-03-18,98,1086279.15,Ativo
180,Empresa 180 LTDA,Chapecó,Tecnologia,2020-06-08,139,1883836.91,Ativo
181,Empresa 181 LTDA,Jaraguá do Sul,Agronegócio,2016-06-14,144,2448388.78,Suspenso
182,Empresa 182 LTDA,Chapecó,Comércio,2022-04-05,97,3110361.12,Ativo
183,Empresa 183 LTDA,Criciúma,Comércio,2013-07-18,124,1876122.52,Ativo
184,Empresa 184 LTDA,São José,Comércio,2011-08-29,70,2339546.84,Ativo
185,Empresa 185 LTDA,Itajaí,Serviços,2019-11-28,93,3749981.14,Ativo
186,Empresa 186 LTDA,Lages,Turismo,2017-10-01,3,231581.85,Ativo
187,Empresa 187 LTDA,Jaraguá do Sul,Tecnologia,2023-03-07,148,1299562.87,Suspenso
188,Empresa 188 LTDA,Lages,Agronegócio,2016-09-16,147,3581080.45,Ativo
189,Empresa 189 LTDA,,Comércio,2019-07-08,90,4481273.85,Inativo
190,Empresa 190 LTDA,Chapecó,Serviços,2015-08-11,147,2582803.34,Ativo
191,Empresa 191 LTDA,Chapecó,Turismo,2020-03-31,148,2683961.75,Ativo
192,Empresa 192 LTDA,Joinville,Indústria,2016-10-10,96,580501.46,Ativo
193,Empresa 193 LTDA,Itajaí,Indústria,2014-06-20,52,2264691.22,Ativo
194,Empresa 194 LTDA,Florianópolis,Comércio,2018-08-18,128,2686455.47,Ativo
195,Empresa 195 LTDA,Balneário Camboriú,Agronegócio,2020-11-02,39,1250228.99,Ativo
196,Empresa 196 LTDA,,Agronegócio,2012-05-23,82,1382753.99,Ativo
197,Empresa 197 LTDA,Chapecó,Turismo,2015-04-28,104,1917556.61,Ativo
198,Empresa 198 LTDA,Balneário Camboriú,Turismo,2018-07-22,129,149352.43,Ativo
199,Empresa 199 LTDA,Chapecó,Tecnologia,2022-10-30,11,1644291.87,Ativo
200,Empresa 200 LTDA,Florianópolis,Comércio,2018-01-19,42,1096667.63,Ativo
201,Empresa 201 LTDA,Joinville,Indústria,2022-11-22,99,1671111.89,Inativo
202,Empresa 202 LTDA,Florianópolis,Tecnologia,2016-08-20,7,642822.55,Ativo
203,Empresa 203 LTDA,Chapecó,Agronegócio,2016-08-15,144,4458110.04,Ativo
204,Empresa 204 LTDA,Joinville,Tecnologia,2010-06-29,90,2988282.65,Ativo
205,Empresa 205 LTDA,Florianópolis,Indústria,2018-11-17,112,3411556.48,Inativo
206,Empresa 206 LTDA,,Agronegócio,2016-02-27,60,3956397.63,Ativo
207,Empresa 207 LTDA,Joinville,Turismo,2010-03-08,113,2517288.88,Ativo
208,Empresa 208 LTDA,Jaraguá do Sul,Serviços,2022-09-11,2,480255.43,Ativo
209,Empresa 209 LTDA,Chapecó,Serviços,2011-02-06,129,2708677.38,Ativo
210,Empresa 210 LTDA,Criciúma,Turismo,2023-08-08,48,2954863.53,Ativo
211,Empresa 211 LTDA,Lages,Comércio,2021-02-21,140,3739925.4,Ativo
212,Empresa 212 LTDA,Chapecó,Tecnologia,2016-06-02,37,2186714.75,Ativo
213,Empresa 213 LTDA,Jaraguá do Sul,Agronegócio,2015-03-01,9,681522.5,Ativo
214,Empresa 214 LTDA,Blumenau,Turismo,2023-08-14,99,1454690.73,Ativo
215,Empresa 215 LTDA,Balneário Camboriú,Turismo,2017-11-26,147,1847257.37,Inativo
216,Empresa 216 LTDA,Balneário Camboriú,Comércio,2014-11-30,48,3247290.34,Ativo
217,Empresa 217 LTDA,Lages,Tecnologia,2014-04-07,131,2875352.61,Inativo
218,Empresa 218 LTDA,Chapecó,Turismo,2015-08-16,148,1812678.79,Inativo
219,Empresa 219 LTDA,Lages,Indústria,2013-01-25,54,,Ativo
220,Empresa 220 LTDA,São José,Turismo,2012-03-06,120,3048585.36,Ativo
221,Empresa 221 LTDA,Chapecó,Agronegócio,2010-11-19,116,1224272.62,Ativo
222,Empresa 222 LTDA,Joinville,Tecnologia,2016-12-05,75,553823.24,Ativo
223,Empresa 223 LTDA,Joinville,Agronegócio,2019-11-21,113,806652.74,Ativo
224,Empresa 224 LTDA,São José,Tecnologia,2010-10-01,104,1267490.76,Ativo
225,Empresa 225 LTDA,Itajaí,Indústria,2022-12-31,84,845372.8,Ativo
226,Empresa 226 LTDA,São José,Agronegócio,2018-03-08,112,973506.77,Ativo
227,Empresa 227 LTDA,São José,Serviços,2012-12-12,99,1461221.09,Ativo
228,Empresa 228 LTDA,Lages,Turismo,2012-01-09,93,908199.3,Ativo
229,Empresa 229 LTDA,Florianópolis,Indústria,2016-08-14,146,4488988.85,Ativo
230,Empresa 230 LTDA,Joinville,Tecnologia,2017-04-30,128,447157.04,Ativo
231,Empresa 231 LTDA,Florianópolis,Agronegócio,2019-04-27,110,2646331.38,Inativo
232,Empresa 232 LTDA,São José,Turismo,2013-12-09,82,2081464.29,Ativo
233,Empresa 233 LTDA,Itajaí,Indústria,2014-07-03,54,4912774.15,Ativo
234,Empresa 234 LTDA,Joinville,Tecnologia,2012-12-18,68,604592.57,Ativo
235,Empresa 235 LTDA,,Serviços,2022-02-05,33,2019385.22,Ativo
236,Empresa 236 LTDA,Chapecó,Serviços,2018-03-17,142,4848878.64,Ativo
237,Empresa 237 LTDA,Chapecó,Tecnologia,2021-11-27,21,4334260.27,Inativo
238,Empresa 238 LTDA,Jaraguá do Sul,Serviços,2021-04-03,48,4094506.75,Ativo
239,Empresa 239 LTDA,Lages,Indústria,2016-02-11,148,1326618.99,Ativo
240,Empresa 240 LTDA,Blumenau,Turismo,2013-09-09,128,895893.56,Ativo
241,Empresa 241 LTDA,São José,Serviços,2015-10-07,136,3359783.94,Inativo
242,Empresa 242 LTDA,Blumenau,Turismo,2020-10-22,135,4650411.15,Ativo
243,Empresa 243 LTDA,Criciúma,Comércio,2016-08-14,145,2805976.32,Ativo
244,Empresa 244 LTDA,Lages,Serviços,2017-08-06,128,2879482.81,Ativo
245,Empresa 245 LTDA,Chapecó,Comércio,2012-08-01,33,1435896.51,Ativo
246,Empresa 246 LTDA,Joinville,Turismo,2020-07-03,115,3858990.02,Ativo
247,Empresa 247 LTDA,Lages,Agronegócio,2011-09-09,119,975866.56,Ativo
248,Empresa 248 LTDA,Jaraguá do Sul,Turismo,2013-02-27,22,1652212.22,Ativo
249,Empresa 249 LTDA,Joinville,Indústria,2015-01-23,38,2155910.37,Ativo
250,Empresa 250 LTDA,Florianópolis,Agronegócio,2018-11-30,109,2562671.37,Ativo
251,Empresa 251 LTDA,Jaraguá do Sul,Agronegócio,2022-07-02,51,1249928.18,Ativo
252,Empresa 252 LTDA,Florianópolis,Serviços,2018-03-16,8,618442.28,Ativo
253,Empresa 253 LTDA,,Serviços,2012-01-10,27,3072569.21,Ativo
254,Empresa 254 LTDA,Chapecó,Serviços,2018-11-07,27,1478721.24,Ativo
255,Empresa 255 LTDA,Blumenau,Turismo,2010-04-25,21,2927129.2,Ativo
256,Empresa 256 LTDA,São José,Agronegócio,2015-12-07,30,814095.44,Ativo
257,Empresa 257 LTDA,Lages,Indústria,2022-01-13,97,2431643.5,Ativo
258,Empresa 258 LTDA,Lages,Indústria,2012-10-09,28,2686317.69,Ativo
259,Empresa 259 LTDA,Chapecó,Comércio,2020-03-14,111,306526.51,Ativo
260,Empresa 260 LTDA,São José,Tecnologia,2018-04-08,61,,Ativo
261,Empresa 261 LTDA,Florianópolis,Indústria,2015-11-18,48,715352.65,Ativo
262,Empresa 262 LTDA,Blumenau,Serviços,2023-02-10,147,363706.1,Ativo
263,Empresa 263 LTDA,São José,Comércio,2018-07-19,4,4950303.15,Ativo
264,Empresa 264 LTDA,Florianópolis,Serviços,2018-05-02,35,1645651.53,Ativo
265,Empresa 265 LTDA,São José,Agronegócio,2012-06-06,49,4058878.51,Suspenso
266,Empresa 266 LTDA,Criciúma,Agronegócio,2015-03-31,17,1310471.24,Ativo
267,Empresa 267 LTDA,Lages,Turismo,2020-07-29,46,3423438.48,Ativo
268,Empresa 268 LTDA,Criciúma,Serviços,2010-07-25,117,3813127.91,Ativo
269,Empresa 269 LTDA,São José,Indústria,2022-08-05,6,2998411.77,Ativo
270,Empresa 270 LTDA,Jaraguá do Sul,Tecnologia,2017-05-11,99,2384302.13,Inativo
271,Empresa 271 LTDA,Lages,Serviços,2023-09-07,124,2088612.53,Ativo
272,Empresa 272 LTDA,Blumenau,Indústria,2014-12-19,37,1776897.92,Ativo
273,Empresa 273 LTDA,Chapecó,Comércio,2011-06-02,24,4651169.26,Ativo
274,Empresa 274 LTDA,Criciúma,Serviços,2020-05-31,93,4161566.07,Ativo
275,Empresa 275 LTDA,Chapecó,Comércio,2016-10-11,46,4826883.21,Ativo
276,Empresa 276 LTDA,Florianópolis,Indústria,2019-02-27,95,665271.26,Ativo
277,Empresa 277 LTDA,Balneário Camboriú,Indústria,2012-08-13,99,3667794.0,Ativo
278,Empresa 278 LTDA,Jaraguá do Sul,Indústria,2013-02-19,116,4694785.26,Ativo
279,Empresa 279 LTDA,Florianópolis,Indústria,2011-01-07,67,947103.68,Ativo
280,Empresa 280 LTDA,Itajaí,Agronegócio,2010-11-01,128,379156.52,Ativo
281,Empresa 281 LTDA,Florianópolis,Turismo,2016-10-29,18,3718547.21,Ativo
282,Empresa 282 LTDA,Florianópolis,Indústria,2021-01-18,25,2893641.91,Ativo
283,Empresa 283 LTDA,Balneário Camboriú,Agronegócio,2012-08-09,54,4217052.44,Ativo
284,Empresa 284 LTDA,Lages,Tecnologia,2012-03-07,58,741873.26,Ativo
285,Empresa 285 LTDA,Jaraguá do Sul,Agronegócio,2015-04-08,67,3986573.19,Ativo
286,Empresa 286 LTDA,Jaraguá do Sul,Comércio,2022-01-21,104,1048055.23,Ativo
287,Empresa 287 LTDA,Blumenau,Tecnologia,2013-01-16,24,860096.92,Ativo
288,Empresa 288 LTDA,Florianópolis,Comércio,2018-09-19,114,863115.7,Suspenso
289,Empresa 289 LTDA,Jaraguá do Sul,Turismo,2020-03-05,32,4082144.87,Ativo
290,Empresa 290 LTDA,Joinville,Serviços,2018-04-28,86,3342726.24,Ativo
291,Empresa 291 LTDA,Blumenau,Serviços,2022-02-12,127,2639173.85,Ativo
292,Empresa 292 LTDA,Joinville,Agronegócio,2019-05-27,130,1826210.9,Ativo
293,Empresa 293 LTDA,Balneário Camboriú,Comércio,2023-03-05,17,4392142.68,Inativo
294,Empresa 294 LTDA,Joinville,Turismo,2013-06-19,104,1992603.28,Ativo
295,Empresa 295 LTDA,Chapecó,Serviços,2019-04-22,137,4092167.23,Ativo
296,Empresa 296 LTDA,São José,Turismo,2012-03-22,43,2223717.8,Ativo
297,Empresa 297 LTDA,Joinville,Turismo,2020-12-22,39,1915874.93,Inativo
298,Empresa 298 LTDA,Balneário Camboriú,Serviços,2019-02-26,26,2340264.94,Ativo
299,Empresa 299 LTDA,Chapecó,Serviços,2016-04-10,99,1541820.48,Ativo
300,Empresa 300 LTDA,Balneário Camboriú,Tecnologia,2010-09-26,50,3750666.43,Ativo
301,Empresa 301 LTDA,Balneário Camboriú,Tecnologia,2018-04-24,13,2538465.93,Ativo
302,Empresa 302 LTDA,Florianópolis,Indústria,2014-11-15,60,1199452.84,Ativo
303,Empresa 303 LTDA,Balneário Camboriú,Comércio,2019-12-12,135,4502894.14,Ativo
304,Empresa 304 LTDA,Joinville,Serviços,2019-12-22,57,1950261.55,Ativo
305,Empresa 305 LTDA,São José,Turismo,2015-04-19,36,2740586.66,Ativo
